example_id,intent,response,correctness,groundedness,relevance,helpfulness,tone,average
GS_0000,playback_issue,"Sorry to hear that. Can you let us know the device, operating system, and Spotify version you're using? /JE",5,5,2,2,4,3.6
GS_0001,general_inquiry,"Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF /MA",5,5,3,2,3,3.6
GS_0002,download_offline,"2: about offline listening here: https://t.co/WSjJgGAmPy. For now, we'd suggest replacing some of your... /YM",5,5,2,2,3,3.4
GS_0006,download_offline,Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should h,5,5,3,3,4,4.0
GS_0007,general_inquiry,Got it! Behind the Lyrics should be available to all Android users. Are you having any issues viewing them? Let us know ,5,5,2,2,3,3.4
GS_0008,general_inquiry,"No worries! If you need us again, you know where to find us. https://t.co/uEkAlnxbzn 💚 /JN",5,5,2,2,3,3.4
GS_0009,general_inquiry,Hmm. Does logging out &amp; back in help? Restarting your device (hold Sleep/Wake + Volume Down buttons for 10 seconds) ,5,5,2,3,3,3.6
GS_0011,general_inquiry,"Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DR",5,5,2,2,3,3.4
GS_0012,general_inquiry,"Yup, that's right. Could you try restarting the device? Does the issue persist? /JS",5,5,2,3,3,3.6
GS_0013,general_inquiry,Thanks. We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /PB,5,4,2,2,3,3.2
GS_0014,general_inquiry,"That doesn't look good. Which operating system are you running? By the way, can you head over to this link to see if it'",5,5,2,2,3,3.4
GS_0015,general_inquiry,"Thanks! Just to check, is this happening on both devices or just on your phone? /JP",5,5,2,3,3,3.6
GS_0016,playback_issue,Thanks for the info. Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiN,5,5,2,3,4,3.8
GS_0017,general_inquiry,"No worries! If you ever need anything else, just shout and we'll come running 🏃 /DF",5,5,2,2,3,3.4
GS_0018,app_bug,Alright. Could you drop us a DM? Let's carry on there /JE https://t.co/ldFdZRiNAt,5,5,2,3,3,3.6
