example_id,customer_message,response,pred_intent,evidence_score,evidence_used,human_correctness,human_groundedness,human_relevance,human_helpfulness,human_tone,human_notes
GS_0116,If you’re gonna drastically change things at least give us a walk through so we know how things work and where you moved things to. But right now I can’t search for an artist or find any of my saved playlists or my curated “radio stations”,1: We appreciate you sharing your thoughts. We're passing on all feedback about this.,general_inquiry,0.1503,,,,,,,
GS_0026,That’s how it looks now. I can’t find any daily mix’s https://t.co/vOIhDLMFP6,"Hmm. Just to check, do you have an alternative device that you can use to access Twitter and your Premium for Family overview page? /KB",general_inquiry,0.2267,,,,,,,
GS_0187,"its not available here, so when will it be? https://t.co/Bc1zzZhoky",We're afraid we don't have any info on this right now. Fingers crossed we'll be able to have it soon! /NS,general_inquiry,0.5241,,,,,,,
GS_0107,There's an album by Incubus (Fungus Amongus) that has one playable track. I can see the rest but not play them. Any idea as to why?,Thanks for letting us know. Fingers crossed we’ll have it available to you as soon as it’s available to us! More info here: https://t.co/0i8GpimuDa. Give us a shout if you have questions /XF,general_inquiry,0.2347,,,,,,,
GS_0155,"Like I am playing the Global Top 50 Album here. In most services you have repeat all, repeat song, repeat off. With Spotify only ""Enable repeat one"" is available and that too doesn't work as the song isn't put in a loop even after enabling it. https://t.co/NBoh6YSxCC",Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,playback_issue,0.148,,,,,,,
GS_0123,Fixed it! Thank you! :D,"Awesome! If there's anything else you need, just give us a shout /TJ",general_inquiry,0.522,,,,,,,
GS_0049,"I forgot to delete this. I sent an email, got a response, and replied already but since I have you....iPhone 6S with iOS 10.3.3.","Thanks. Does logging out, restarting your phone, and logging back in help at all? /YM",general_inquiry,0.2991,,,,,,,
GS_0087,All sorted. iOS update didn’t show any saved albums etc only saved playlists. Required a restart to solve issue. Many thanks for the offer.,Hi Andrew! Glad to hear everything's sorted now. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /PL,general_inquiry,0.2183,,,,,,,
GS_0190,"But I don’t think I’ve downloaded 10k songs?🤔 thanks for your help, I’ll take a look at the link.","We're glad that it's working now and we apologize for the inconvenience. If you need help with anything else, just give us a shout. Otherwise, have a... https://t.co/FQulrDtFky 😉 /GU",download_offline,0.2424,,,,,,,
GS_0071,This new update (iOS 11) won’t allow me to swipe up and change the song on spotfiy like I could before the update.,"Hmm. What happens if you click on ""Send a private message""? A different browser can also do the trick. We'll be right here waiting /AY https://t.co/ldFdZRiNAt",general_inquiry,0.3524,,,,,,,
GS_0007,The album is not currently on Spotify and I desperately need it to be. cc:,Got it! Behind the Lyrics should be available to all Android users. Are you having any issues viewing them? Let us know /PB,general_inquiry,0.2288,,,,,,,
GS_0171,"Ya, those 5 songs I really wanted to save from last week but can’t find now. Ha","We understand. Fingers crossed we'll be able to have it again soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa. For anything else, let us know /GU",general_inquiry,0.2134,,,,,,,
GS_0057,Never mind I just had to re download it but thank you for replying,"We're glad that it's working now and we apologize for the inconvenience. If you need help with anything else, just give us a shout. Otherwise, have a... https://t.co/FQulrDtFky 😉 /GU",download_offline,0.2552,,,,,,,
GS_0159,Android version 7.0 Happens during either. I only tend to listen to songs or playlists that i've previously downloaded https://t.co/mxHvZA2654,Thanks! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt,download_offline,0.2196,,,,,,,
GS_0124,Great. So now the official way is to create a “downloads” playlist and download that playlist? That sounds hacky af.,2: keep the music in Your Library though 🙂 Hope that explains it /GS,download_offline,0.1958,,,,,,,
GS_0025,"Hey! It's resolved now - just looks as though there was a bloop in my ISP when connecting to Spotify. Btw, is that a template message in LSW/Lithium Response?","Got it. Does this happen when you're playing online or offline songs? Also, what version of Spotify are you running? /NS",general_inquiry,0.153,,,,,,,
GS_0147,"Tried on my Android. Not working. Tried on a coworker computer with my account, not working also. Working with his account :)",We hear you. Could you try this out on a desktop? We'll be waiting for your reply /JQ,app_bug,0.3041,,,,,,,
GS_0014,Error 404????? Lol,"That doesn't look good. Which operating system are you running? By the way, can you head over to this link to see if it'll work: https://t.co/MQtBW54x7q? /YM",general_inquiry,0.2515,,,,,,,
