example_id,customer_message,brand_response,suggested_intent,human_intent,should_escalate,ambiguous,labeling_notes,customer_tweet_id,brand_tweet_id
GS_0000,I can’t Import music from my computer like my local files won’t play on desktop Spotify also the local files playlist have only imported with all songs on my iPhone not iPod or iPad they won’t play,Got it. Can you let us know your devices' operating systems and Spotify versions? We'll see what we can suggest /MG,playback_issue,,,False,,2749447,2749446
GS_0001,"Cool that seemed to do the trick for now. Whole song, no skip. Thank you! Zee","Awesome, that's what we like to hear! If you ever need us again, feel free to drop us a tweet. https://t.co/uEkAlnxbzn 😁 /JE",playback_issue,,,True,ambiguous - matches multiple intent patterns,450082,450083
GS_0002,No ! That was just an ITunes Normal subscription where I could listen to songs and download them to listen offline I didn’t buy any songs on iTunes,"At the moment, it's only possible to import files on your computer that are added to your iTunes Library. We hope that clears up things. If you have other questions, let us know /RA",premium_billing,,,True,ambiguous - matches multiple intent patterns,2527713,2527714
GS_0003,"Thanks for getting back to me. I tried logging in on a different iOS device and got the same message, and the message also appears when logging in with just my username + password instead of email + password.",Got it! We've just sent you a bit more info over DM. We'll carry on helping out there /KB,account_login,,,True,ambiguous - matches multiple intent patterns,2720891,2720890
GS_0004,"For me, as soon as I logged in it would log me out (in Chrome). I switched to Firefox and was able to log in. Makes me think something is cached weird.",Hi Will! Can you trying clearing your Chrome browser's cache/cookies? Let us know if that makes a difference /RH,account_login,,,False,,106312,106314
GS_0005,"my sisters phone is very broken so I can’t get a screen shot of hers, but this is mine and her downloaded page is above podcasts and below artists https://t.co/ncW0VAfi90","Everything looks good on your app, but we're always testing things in order to improve Spotify. More info here: https://t.co/uon71wdZQZ /CH",app_bug,,,True,ambiguous - matches multiple intent patterns,2377287,2377288
GS_0006,"Also, I have a persistent issue with the offline songs for my singular devicr for Android. Cache acting up again, need to re-sync all he whole 900+ songs that I have which is a total pain. Everybody has had this issue and you know it.","Hi! We’ve made some changes to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/AdMgwOmTIH. As for your offline tracks, we'd suggest checking out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /CE",download_offline,,,False,,89503,2926810
GS_0007,The album is not currently on Spotify and I desperately need it to be. cc:,"Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /LO",general_inquiry,,,False,,1881228,1881230
GS_0008,Thank you so much!,"No worries! For anything else, just give us a shout. https://t.co/uEkAlnxbzn /MU",general_inquiry,,,False,,916077,916076
GS_0009,"iPhone 8, iOS 11.0.3, Spotify version 8.4.22.515. Thank you!","No worries. Just to check, are you streaming the tracks online or have you downloaded them for offline listening? /LO",general_inquiry,,,False,,864541,864540
GS_0010,How do I find my username if I've always logged in with Facebook ? Thanks :),You can just DM us your account's email address and a link to your Facebook profile. We'll be waiting 🙂 /TR https://t.co/ldFdZRiNAt,account_login,,,True,ambiguous - matches multiple intent patterns,2562468,2562470
GS_0011,"i tried and it's still the same... moreover, my song history is always empty, so I can't find songs from previous Discover playlists :(","Does restarting your computer help at all? Also, is the song history you're referring to the History tab on your Play Queue? /MT",content_search,,,False,,189665,189667
GS_0012,What you mean it's from 2005! How is it not available to y'all yet,"2: Thanks for sharing your thoughts, we'll pass it on to the relevant folks /SY",content_search,,,False,,1238325,1238327
GS_0013,yep it’s the default on both !,OK. Could you DM us the email address linked to your account? We'll take a look backstage 🔍 /T https://t.co/ldFdZRiNAt,general_inquiry,,,False,,1742948,1742950
GS_0014,Error 404????? Lol,That's odd. The link works fine from our end. Try clearing your browser's cache/cookies and refreshing. Does that help at all? /MU,app_bug,,,False,,1421488,1421487
