candidate_id,customer_message,brand_response,interaction_id,suggested_intent,human_intent,should_escalate,labeling_notes
OTHER_0000,usa,"Gotcha! Fingers crossed we'll be able to have it in the US soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /CH",1753548_1753550,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0001,"No, but I also didn’t have this problem when I first updated to this beta version, either. It’s only just now started happening in the past few days.","We don't officially support beta macOS versions at this time, but don't worry, we'll still help you out. Can you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt",566279_566280,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0002,good lookin out 💯💯💯,"Thanks! If you ever need us with anything else, just give us a... https://t.co/AUc7DGJpgF 🙂 /AR",2337994_2337996,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0003,"Now it's casting to chromecast but can't control music. When I go to next song it plays out loud on phone, and current song stays on tv",Best thing to try here is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. Let us know how it plays out /NY,1615625_1615626,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0004,yeah this is extremely not the very simple thing that I need,"We're sorry to hear that. Don't worry, we'll pass on the suggestion about new release notifications from specific artists on to the right folks. Let us know if there's anything else we can help with /KB",2705129_2705130,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0005,"No, weirdly enough","Thanks. Just to check, did you watch the video ad that grants you 30 minutes ad-free listening in full (while your device was unlocked)? /RI",1963665_1963667,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0006,"Algeria, pleeeeaaase make it happen!",We've just sent you a DM 🙂 /DR,762616_762618,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0007,"Hello #Spotify. 26 Sept I reported a bug, wha'ts the status ? I still can't drag playing #songs to #playlists :(((( isn't this a big issue?",Hi again. We're sorry you feel that way. Can you try reinstalling the app using the steps here: https://t.co/EqisDMwZAT? /LM,48085_48084,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0008,I tried to fill out that form and it kept rejecting the information I included. I have no idea why. I’ve given you both the artist page and the nature of the problem. Why isn’t that enough?!,3: issue you're experiencing? Let us know /KP,2110151_2110150,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0009,"Voted! Strange because said publicly on Sept 29 that support was coming soon, but Spotify has been 100% mums-the-word",We appreciate your feedback. We'd suggest keeping an eye out for any updates /PL,1429868_1429870,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0010,haha. keep trying! those albums are the epitome of fall in the PNW! :),"Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8Gpi4TeA /RB",2055166_2055168,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0011,Nothing I’ve noticed so far,"Got it. Is this happening over WiFi, 3G/4G, or both? Does resetting your connection make any difference? /NY",1013933_1013934,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0012,"All tracks, it starts normal then fades into that. Im using OSX El Capitan. I am using the online web player",Got it! Could you try opening the web player in an incognito/private window? Keep us posted /RK,962776_962775,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0013,Is there a way to increase the limit? I am a huge music fan and like to save and browse my albums. This seems like a weird restriction.,"We hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69. Stay awesome 😁 /TY",55222_55224,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0014,"Everytime I get out of my car and get back in yes, my playlist starts over","Alright. Can you let us know the device, operating system, and Spotify version you're using? More info on your issue would also help /RH",2138999_2138996,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0015,Its keeps happening im sad,"Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated as soon as we learn more /YM",1307341_1307342,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0016,South Africa https://t.co/IS1euym0ie,2: Hopefully we'll be there soon. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /RC,1935417_1935418,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0017,"Yes, but on iTunes. I'm considering whether to jump from Apple Music to Spotify and I just wanted to know if anyone ever had that problem on Spotify like I've had it on iTunes. Wondering if the switch is worth it.","1: Got it! How about giving us a shot? 🙂 For more info about the app, just head here: https://t.co/kGiZgGf5eZ.",2457277_2457279,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0018,"4G. Wifi takes long to load, but at least it does something",Sorry about this. We appreciate your feedback on this issue. We’ll get this passed onto the right team /JQ,751832_751834,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0019,"Nexus 5X running Android 8.0.0 spotify version 8.4.21.508, I'm beginning to wonder if it's the OS that's killing it off due to lack of ram?",Hmm. The lack of RAM could affect its performance. How much available space do you have on your device? Does logging out &amp; back in help? /AY,649088_649090,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0020,"Nice, will give it a spin https://t.co/NL11JIcuuH",Sounds like a plan! Give us a shout if you need us again. Otherwise... https://t.co/FQulrDtFky /BH,875002_875001,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0021,Also I didn’t delete nor reinstalled the spotify app on my phone,"Hmm. Can you let us know if your offline playlists remain downloaded when this happens? Also, could you DM us your account's email? /YM https://t.co/ldFdZRiNAt",1853436_1853434,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0022,Not a problem. Hopefully you'll fix it soon.,We appreciate your https://t.co/toVWg5k3pU. Have a great day /DR,351722_351720,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0023,"Can’t tell straight away, need to see the music behaviour for a bit. Will get back as soon as i know :)",Sounds like a plan! We'll be right here waiting for your update /KM,33431_33433,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0024,singapore,Got it. Can you also DM us with your account's username and email address? We'll do some digging /WW https://t.co/ldFdZRiNAt,2353940_2353939,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0025,"I'm currently using an iPhone 6 with iOS 10.2.1. I've been on the same OS for a while now, but the problem only started occurring about a week ago.","Thanks. Is this happening over WiFi, 3G/4G, or both? Does restarting your device make any difference at all? /MV",1043541_1043540,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0026,Spotify version 8.4.21.508 and my phone just got the newest system update.,Thanks! Does restarting your device - including removing the battery for 30 seconds if possible - help at all? /RB,237562_237564,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0027,It cannot be formatted.,"We understand. We don't have any info on this right now, but we'll let the right team know about what's happened /QI",544595_544596,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0028,I haven’t received anything,"Thanks! Don't worry, we can reactivate your account with the username ""chrisbarbertenby"". Just fire over your date of birth and the make and model a device you recently used to access your account for security /DR",2537554_2537557,general_inquiry,,,candidate selected by no-rule-match; human decision required
OTHER_0029,Have just tried that to no avail. It’s only happened since the last update on 17 November.,"Got it. Does it happen over WiFi, 3G/4G, or both? /QI",115263_115261,general_inquiry,,,candidate selected by no-rule-match; human decision required
