example_id,customer_message,suggested_intent,annotator_A_intent,annotator_B_intent,annotator_A_should_escalate,annotator_B_should_escalate,notes
GS_0015,"the issue has no surfaced on Mac OS, my iPhone and Mac Spotify desktop client can no longer play Grimes https://t.co/ZdVTYh5YeI",general_inquiry,,,,,
GS_0009,"iPhone 8, iOS 11.0.3, Spotify version 8.4.22.515. Thank you!",general_inquiry,,,,,
GS_0115,"I already visited that page but I couldn't find anything for an email address that has been changed, just passwords changes :( is there a specific section I should be looking in?",account_login,,,,,
GS_0078,I only download albums. I removed all offline devices and will download again,download_offline,,,,,
GS_0066,I've had my downloads removed twice before but this time I'm missing songs from my library,download_offline,,,,,
GS_0045,"Unfortunately that means I will be subscribing to Apple Music, a family account not suitable for a family not the best idea !!",premium_billing,,,,,
GS_0143,"I don’t get it, but Usher is available here in PH. Only Separated is not available 😞",content_search,,,,,
GS_0177,"but I can't find preferences anymore, so I just blocked all Spotify notifications instead,",content_search,,,,,
GS_0200,Ive had her music on my spotify list ever since i signed up for spotify premium in 2015. So i find it quite ridiculous that I didnt get one,premium_billing,,,,,
GS_0180,"Tried that, does not work.",app_bug,,,,,
GS_0069,Lol... How do you know it's not available in my country without checking my account?,content_search,,,,,
GS_0162,"Please pass it on, it’s a very weird system not to allow updating address without deleting the account. Thanks, but my situation is okay for now!",general_inquiry,,,,,
GS_0166,reezal93 that's my username and my account's email address is __email__,account_login,,,,,
GS_0187,"its not available here, so when will it be? https://t.co/Bc1zzZhoky",content_search,,,,,
GS_0056,"i don't have anything else to try with right now, but i've never experienced this before",general_inquiry,,,,,
GS_0190,"But I don’t think I’ve downloaded 10k songs?🤔 thanks for your help, I’ll take a look at the link.",download_offline,,,,,
GS_0018,I've tried this and it still does not work.,app_bug,,,,,
GS_0079,"Any news of when.. Really want to listen to #Endgame of #reputation given that me and many millions of people pay for ""Spotify premium"" 🤔🤔🤔",premium_billing,,,,,
GS_0055,"I have found the bug, What happens is when the playlist are downloading avast scans the files coming in and makes it cache in ram. Then you need to end task spotify and restart the software then its deleted the files stuck in ram. So its a communication error with other software",download_offline,,,,,
GS_0145,Nvm it’s not working anymore in incognito,app_bug,,,,,
GS_0176,Latest update of Spotify and on pixel xl,app_bug,,,,,
GS_0097,"general ""this song not available"" up top in the blue bar. seems to be all songs by katy perry or mumford and sons that I've found so far 🤔",content_search,,,,,
GS_0095,"No error messages, responsiveness gets progressively more sluggish until music stops playing when the system freezes.",playback_issue,,,,,
GS_0030,yes. my username is geetyakbari,account_login,,,,,
GS_0126,"Frequently freezes mid-song. Sometimes for a few seconds, Sometimes for as long as a minute. Pause and play commands take up to 40 secs",playback_issue,,,,,
GS_0016,"I apologize, but my problem is back. It was shuffleing my songs this morning on my way to work, but now it is not working again for whatever reason. It’s doing the same thing as before where the shuffle light goes off as soon as the song changes. Please help!",playback_issue,,,,,
GS_0173,"I just renewed. No issue, I just didn't know it was expiring and thought something was broken",app_bug,,,,,
GS_0086,"""It looks like you are using your Facebook credentials to log in to Spotify. To change your Facebook password go to your settings page at https://t.co/ShFuLmC95N."" is the msg I get but then it won't let my FB log in either.",account_login,,,,,
GS_0163,Downloaded songs are working fine but I can’t browse 🙄,download_offline,,,,,
GS_0124,Great. So now the official way is to create a “downloads” playlist and download that playlist? That sounds hacky af.,download_offline,,,,,
GS_0065,New update tomorrow ?,app_bug,,,,,
GS_0068,can't access your so called 9 peso premium using card or load,account_login,,,,,
GS_0127,What the H E C K does “Shuffle with Connect mean”?,playback_issue,,,,,
GS_0067,It happens on my xbox and samsung s7 edge and it should be the latest version of the app i tried a test account you gave me last time i said about the glitch and the same thing happened,app_bug,,,,,
GS_0076,"Just mentioned that your service wanted me to input my credit card information after couple of months having student discount, no discount.",premium_billing,,,,,
GS_0100,"Sure, thanks! I know my workplace (as we play different accounts on the main speakers) also has this issue.",general_inquiry,,,,,
GS_0139,Then I’m canceling premium,premium_billing,,,,,
GS_0137,my downloaded songs,download_offline,,,,,
GS_0165,It Worked! Thank You So Much!,general_inquiry,,,,,
GS_0084,"Probably about 2/3 days! And no restarting it hasn’t helped really, i was thinking about deleting and downloading it again! would that help?",download_offline,,,,,
GS_0082,Username is scopixar515 if that helps,account_login,,,,,
GS_0198,I have had your premium service included with my services for a long time. I was suddenly shut down to free. They say it’s you,premium_billing,,,,,
GS_0093,Nvm thank you spoke to an agent on the chat you guys have thanks for the help guys!,general_inquiry,,,,,
GS_0038,"nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""",content_search,,,,,
GS_0024,Thanks for this information. I'm now trying to play music on the tv via Spotify Connect on my phone but the tv isn't popping up as a device? My phone also says download Spotify app to the tv but that link you provided says I don't have to?,download_offline,,,,,
GS_0096,My Alexa is on version 591448720. This is the latest version. I understand Alexa updates are provided automatically.,general_inquiry,,,,,
GS_0111,he is in Spotify! just not available in my region yet.....,content_search,,,,,
GS_0029,"Thanks but that didn’t answer WHY there’s a limit. I have 16gb free on my phone and want to download at least 5,555 songs not 3,333.",download_offline,,,,,
GS_0019,Wondering why Loreens new cd Ride are not available on for spotify france?we have 2 singles and the ep from this summer.i have had the same problem with new music from other swedish artists before..,content_search,,,,,
GS_0060,Its fixed thank you i think i just pit wrong login there,account_login,,,,,
