query_intent,customer_message,retrieved_customer,retrieved_response,similarity_score,human_relevance,reviewer_notes
playback_issue,Im not getting an error message. It just wont play. No matter how long i wait or tap the shuffle button,No error message. It just will not play. But I can put on another playlist (made by friends or Spotify) and it plays perfectly,"Hmm. Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /PB",0.1899,,
playback_issue,I'm not receiving any on-screen errors. Only audio cut-outs. It also occurs when casting to a Google Home.,"Hello, I’m not receiving any error message. I click on certain songs and they simply will not play even though I have a premium account",Got it! Could you send over your account's email address and username? We'll take a look backstage /RV,0.2216,,
playback_issue,nothing worked; last thing that happened before this problem was an ad came up after a song finished and for some reason I couldn't skip the ad by clicking the play button to the next song on the playlist,"I saved the song Gummo by 6ix9ine yesterday and it played, but for some reason it's not playing now. What's going on?",We hear you! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /TB,0.181,,
playback_issue,You seriously want me to give feedback on an update from 5 February 2016? :/ I'd rather learn from you how I can truly shuffle/randomise my plays..! I pay for your services and I want some serious advice please.,"You guys need to work on your algorithm for how you shuffle songs as well, too many repeats.",Hey Javier! We’ve made some improvements to our shuffle algorithm. We’d love to hear your feedback here: https://t.co/T3vZnSL3od /RI,0.1076,,
app_bug,There's no problem now. Once I've crashed out of windows and rebooted it works OK. But I have had this happen 3 or 4 times always when starting up the desktop app.,"Uninstalled, rebooted, reinstalled and now it appears stable. I can switch between artists (and have done many many times now) and its not crashed yet. So - sorted! Thanks.","Great! Glad to hear it's working again. If you ever need us again, just shout 🙂 /K",0.1313,,
app_bug,"No, that doesn’t work. Your app blocks swiping-up and swiping-left from the edges of the screen.","No, that didn't work. Still crashes the app.",Best thing to try here is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. Feel free to keep us posted /AU,0.254,,
app_bug,This button doesn't work ¯\_(ツ)_/¯ https://t.co/sRiOnqk7c6,"Yeah, the vote button doesn't work. Also last update was 1 year ago.....",Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team /KL,0.3103,,
app_bug,On my wifi hotspot on the laptop it doesn't work but on a different wifi network it works. What could be the problem with the hotspot?,"Yep, over 4g and wifi. I've tried that, it works fine with my laptop. Could it just be the mobile app glitching?",Hmm. Could you send us a DM with your account's email address? We'll take a look backstage /DR https://t.co/ldFdZRiNAt,0.2681,,
account_login,Sent a DM dudes. Changed my password now.,I changed my password and email.,"We appreciate the update, but were you able to get in touch with our Accounts team? /AC",0.5317,,
account_login,"Nope.. besides I'm scared that if i do logging out , i cant remember the password. And my premium will run out of the time",I’m locked out of my account 😟,We see. Could you DM us your account's email address and username? We'll take a look backstage 🙂 /CG https://t.co/ldFdZRiNAt,0.2038,,
account_login,"I've already had that enabled. 1.0.63 sounded nicely, 1.0.64 sounds like someone forgot how to bass.",I forgot my password..can you please email it to me..,1: We're afraid we're unable to do that. You can reset your password at https://t.co/dYhFq1waZW. We can see that your previous tweets are...,0.107,,
account_login,hey so my account is linked to an old email that i dont remember the password to... so i cant get inthere to change my password,"Ok thanks, if they can’t remember their email log in as it’s an old email address are they able to change the email of their account?",We've just sent you a DM. Let's carry on chatting there 🙂 /VK,0.2725,,
premium_billing,Hi! It was just a comment that you aren’t digital as I can’t convert to Premium via commercial in my app,"well sure, but why not just display it :) I want to discover new music, but as a premium user it’d be nice if it was just there to click on.",We hear you 🎧 Rest assured your feedback will be passed on to the right folks / PX,0.1568,,
premium_billing,I’m playing it from an iPhone 7. I have premium. I just did the update today,i just got the new iphone update and i have premium,Got it. Can you give us more info on what's happening exactly? /DV,0.2462,,
premium_billing,Yes. I actually upgraded to those versions first. Still an issue. Then reset. Still an issue. Thanks!,"""You've downloaded music to more than 3 devices"" Will this still be an issue if i have a premium family account?",Hmm. We'd like to take a closer look. Can you DM us your account's username or email address? We'll check backstage /JS https://t.co/ldFdZRiNAt,0.2042,,
premium_billing,Ok so I've just logged onto my free Spotify.. it's now offering 9.99 for 3 months which is amazing but no link to get it. You guys make it's so difficult to get premium,"Seems like the link has been removed,was offering Spotify premium for 99p for 3 months",Hmm. Can you send us your account's username or email address via DM? We'll check backstage /LP https://t.co/ldFdZRiNAt,0.166,,
download_offline,and this is the only option I have now. I can’t save or download. https://t.co/MKJsPhXtQQ,And this is not set offline https://t.co/seEeBVAKb4,Thanks for the info. Can you try giving your iPhone a quick restart? Let us know if it make any difference /SY,0.3271,,
download_offline,I dont want to try it as it will take another week to download songs maybe?,"Please yes :"""" because I don't want to download Dongwan's songs illegally 😖","Fingers crossed we'll have it with us in the near future. If you need anything else, just shout and we'll come running 🏃 /FR",0.1718,,
download_offline,I don't get it am I supposed to have the app available now?. Because I still can't download it Please explain how this works,I removed the app and I re-download it and it works now :),"Awesome, thanks for letting us know. Give us a shout if you need us again. For now, enjoy the music! https://t.co/SkdXv2BhCb 🎶 /GT",0.2643,,
download_offline,"It is happening with other artists, sometimes it says ""cant play song"" I think but mostly I just try to click it and nothing plays. I uninstalled the app and re-downloaded it but that didn't help.",I removed the app and I re-download it and it works now :),"Awesome, thanks for letting us know. Give us a shout if you need us again. For now, enjoy the music! https://t.co/SkdXv2BhCb 🎶 /GT",0.248,,
content_search,"3/4 options are flagged as ""Not available at the moment"" even thoguh i have prrmium accoujt (OnePlus 3t / android 7)","That's great :D That means no switching between apps at the christmas party, since a few tracks are not on spotify but the problem is solved","Yup! If there's anything else, we're just a tweet away. https://t.co/m4HWSbgHVZ 🙂 /RH",0.1849,,
content_search,"Now it's says ""this song is not available"" on 90% of his songs...","Hey! 1.0.65.320.gac7a8e02 on PC/Windows 7. It says ""this song is not available"" for every track by Frank Ocean and King Krule.",Thanks for the info. Are you having similar issues with other devices too? Keep us posted /PB,0.2713,,
content_search,"Ah OK, that explains why I can’t find it! :)",I can’t find it on mobile 😭,"What device, operating system, and Spotify version are you using? We'll see what we can suggest /JE",0.6351,,
content_search,I don't want recently played but recently added,"rather, i meant by ""recently added"" instead of the onerous alphabetical ordering that's default","Sorry to hear that. Your feedback has been noted, and we'll be sure to let the right folks know it's something you'd like to see /JE",0.2899,,
general_inquiry,macOS Sierra 10.12.6 thanks for helping!,MacOS Sierra version 10.12.6,Are you getting the same issue when using other devices? It'd also be great if you could DM us your account's email address or username /AY https://t.co/ldFdZRiNAt,0.5631,,
general_inquiry,"did it, but i'll try it again. going to bed but I'll get back with you if the issue returns.",I have not but I'll try it,That sounds like a plan. We'll be on the lookout for your update /RK,0.3948,,
general_inquiry,On top of that this has been going on for a month now. I tried it at the end of October with the same issue. I figured the website was down. So I thought I'd try again tonight with the same issue.,Not sure on that but it's been going on for 1-2 months.,Alright. Can you DM us your account's email address or username? We'll take a look backstage /RH https://t.co/ldFdZRiNAt,0.2203,,
general_inquiry,That link worked - thank you!,That link worked! Thanks!,https://t.co/qAh6tkevrD! You know where to find us if there's anything else ✌️ /JY,0.7521,,
